"county","state","puma12","stab","cntyname","PUMAname","intptlon","intptlat","pop10","afact","AFACT2"
"county","FIPS state","puma12","State Postal Code","cntyname","PUMA12 Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","county to puma12 alloc factor","puma12 to county alloc factor"
"01033","01","00100","AL","Colbert AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",-87.685151,34.723385,54428,1,0.291534 
"01059","01","00100","AL","Franklin AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",-87.793573,34.460481,31704,1,0.169817 
"01077","01","00100","AL","Lauderdale AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",-87.608752,34.86618,92709,1,0.49658 
"01093","01","00100","AL","Marion AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",-87.750165,34.244285,7854,0.255199,0.042069 
"01083","01","00200","AL","Limestone AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",-86.938983,34.815613,82782,1,0.481792 
"01089","01","00200","AL","Madison AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",-86.598748,34.839332,89039,0.265938,0.518208 
"01089","01","00301","AL","Madison AL","Huntsville (North) & Madison (East) Cities",-86.692666,34.750606,118924,0.355197,1 
"01089","01","00302","AL","Madison AL","Huntsville City (Central & South)",-86.573526,34.689683,101522,0.303222,1 
"01049","01","00400","AL","DeKalb AL","DeKalb & Jackson Counties",-85.817037,34.455111,71109,1,0.57191 
"01071","01","00400","AL","Jackson AL","DeKalb & Jackson Counties",-85.938553,34.731985,53227,1,0.42809 
"01089","01","00500","AL","Madison AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",-86.450594,34.627177,25326,0.075643,0.214001 
"01095","01","00500","AL","Marshall AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",-86.293319,34.311975,93019,1,0.785998 
"01079","01","00600","AL","Lawrence AL","Morgan & Lawrence Counties--Decatur City",-87.272433,34.543683,34339,1,0.223228 
"01103","01","00600","AL","Morgan AL","Morgan & Lawrence Counties--Decatur City",-86.930832,34.514252,119490,1,0.776772 
"01043","01","00700","AL","Cullman AL","Cullman & Winston Counties",-86.831816,34.162363,80406,1,0.766574 
"01133","01","00700","AL","Winston AL","Cullman & Winston Counties",-87.415772,34.163825,24484,1,0.233425 
"01009","01","00800","AL","Blount AL","St. Clair & Blount Counties",-86.591401,33.955244,57322,1,0.406784 
"01115","01","00800","AL","St. Clair AL","St. Clair & Blount Counties",-86.369084,33.660628,83593,1,0.593215 
"01055","01","00900","AL","Etowah AL","Etowah County",-86.025408,34.013693,104430,1,1 
"01019","01","01000","AL","Cherokee AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",-85.629198,34.179333,25989,1,0.162333 
"01027","01","01000","AL","Clay AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",-85.820165,33.272412,13932,1,0.087022 
"01029","01","01000","AL","Cleburne AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",-85.494301,33.629771,14972,1,0.093518 
"01111","01","01000","AL","Randolph AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",-85.427305,33.257607,22913,1,0.143119 
"01121","01","01000","AL","Talladega AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",-86.169048,33.372084,82291,1,0.514007 
"01015","01","01100","AL","Calhoun AL","Calhoun County",-85.819404,33.72546,118572,1,1 
"01117","01","01200","AL","Shelby AL","Shelby County",-86.737934,33.290719,195085,1,1 
"01073","01","01301","AL","Jefferson AL","Birmingham City (West)",-86.881003,33.487328,100833,0.153133,1 
"01073","01","01302","AL","Jefferson AL","Birmingham City (East)",-86.76041,33.544656,102098,0.155054,1 
"01073","01","01303","AL","Jefferson AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",-86.76762,33.447388,170145,0.258396,1 
"01073","01","01304","AL","Jefferson AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",-86.745616,33.657439,174673,0.265273,1 
