"county","state","puma12","stab","cntyname","PUMAname","intptlon","intptlat","pop14","afact","AFACT2"
"county","FIPS state","puma12","State Postal Code","cntyname","PUMA12 Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Pop 2014 estimate fr county level ests","county to puma12 alloc factor","puma12 to county alloc factor"
"01001","01","02100","AL","Autauga AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",-86.494186,32.500389,55395,1,0.308905 
"01003","01","02600","AL","Baldwin AL","Baldwin County",-87.762466,30.548923,200111,1,1 
"01005","01","02400","AL","Barbour AL","Russell, Pike, Barbour, Macon & Bullock Counties",-85.309929,31.844037,26887,1,0.179159 
"01007","01","01700","AL","Bibb AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",-87.127656,33.030921,22506,1,0.171728 
"01009","01","00800","AL","Blount AL","St. Clair & Blount Counties",-86.591401,33.955244,57719,1,0.399672 
"01011","01","02400","AL","Bullock AL","Russell, Pike, Barbour, Macon & Bullock Counties",-85.701197,32.116327,10764,1,0.071725 
"01013","01","02300","AL","Butler AL","Coffee, Covington, Butler & Crenshaw Counties",-86.653511,31.773539,20296,1,0.164879 
"01015","01","01100","AL","Calhoun AL","Calhoun County",-85.819404,33.72546,115916,1,1 
"01017","01","01800","AL","Chambers AL","Chilton, Tallapoosa, Chambers & Coosa Counties",-85.266519,32.86044,34076,1,0.262006 
"01019","01","01000","AL","Cherokee AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",-85.629198,34.179333,26037,1,0.16424 
"01021","01","01800","AL","Chilton AL","Chilton, Tallapoosa, Chambers & Coosa Counties",-86.687443,32.877547,43931,1,0.33778 
"01023","01","02200","AL","Choctaw AL","Southwest Alabama",-88.264101,32.016563,13323,1,0.09616 
"01025","01","02200","AL","Clarke AL","Southwest Alabama",-87.81563,31.685685,24945,1,0.180043 
"01027","01","01000","AL","Clay AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",-85.820165,33.272412,13552,1,0.085485 
"01029","01","01000","AL","Cleburne AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",-85.494301,33.629771,15080,1,0.095124 
"01031","01","02300","AL","Coffee AL","Coffee, Covington, Butler & Crenshaw Counties",-85.904739,31.354433,50909,1,0.413571 
"01033","01","00100","AL","Colbert AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",-87.685151,34.723385,54543,1,0.291728 
"01035","01","02200","AL","Conecuh AL","Southwest Alabama",-86.996469,31.418674,12670,1,0.091447 
"01037","01","01800","AL","Coosa AL","Chilton, Tallapoosa, Chambers & Coosa Counties",-86.155045,32.975933,10886,1,0.083701 
"01039","01","02300","AL","Covington AL","Coffee, Covington, Butler & Crenshaw Counties",-86.410991,31.282449,37914,1,0.308003 
"01041","01","02300","AL","Crenshaw AL","Coffee, Covington, Butler & Crenshaw Counties",-86.297107,31.743487,13977,1,0.113545 
"01043","01","00700","AL","Cullman AL","Cullman & Winston Counties",-86.831816,34.162363,81289,1,0.770957 
"01045","01","02500","AL","Dale AL","Houston, Dale, Geneva & Henry Counties--Dothan City",-85.64126,31.383346,49484,1,0.250452 
"01047","01","01700","AL","Dallas AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",-87.034938,32.408815,41711,1,0.318268 
"01049","01","00400","AL","DeKalb AL","DeKalb & Jackson Counties",-85.817037,34.455111,71065,1,0.574355 
"01051","01","02100","AL","Elmore AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",-86.225623,32.559653,80977,1,0.451561 
"01053","01","02200","AL","Escambia AL","Southwest Alabama",-87.282004,31.088737,37733,1,0.272342 
"01055","01","00900","AL","Etowah AL","Etowah County",-86.025408,34.013693,103531,1,1 
"01057","01","01400","AL","Fayette AL","Walker, Marion (South & West), Fayette & Lamar Counties",-87.770364,33.726422,16874,1,0.141826 
"01059","01","00100","AL","Franklin AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",-87.793573,34.460481,31601,1,0.169021 
"01061","01","02500","AL","Geneva AL","Houston, Dale, Geneva & Henry Counties--Dothan City",-85.788837,31.094261,26712,1,0.135196 
"01063","01","01700","AL","Greene AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",-87.924012,32.830505,8553,1,0.065262 
"01065","01","01700","AL","Hale AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",-87.62609,32.775805,15184,1,0.115859 
"01067","01","02500","AL","Henry AL","Houston, Dale, Geneva & Henry Counties--Dothan City",-85.268773,31.478594,17190,1,0.087003 
"01069","01","02500","AL","Houston AL","Houston, Dale, Geneva & Henry Counties--Dothan City",-85.391235,31.20455,104193,1,0.527349 
"01071","01","00400","AL","Jackson AL","DeKalb & Jackson Counties",-85.938553,34.731985,52665,1,0.425644 
"01073","01","01301","AL","Jefferson AL","Birmingham City (West)",-86.881003,33.487328,101189.34094,0.153133,1 
"01073","01","01302","AL","Jefferson AL","Birmingham City (East)",-86.76041,33.544656,102458.81141,0.155054,1 
"01073","01","01303","AL","Jefferson AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",-86.76762,33.447388,170746.28756,0.258396,1 
"01073","01","01304","AL","Jefferson AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",-86.745616,33.657439,175290.28938,0.265273,1 
"01073","01","01305","AL","Jefferson AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",-86.985246,33.413457,111108.27071,0.168144,1 
"01075","01","01400","AL","Lamar AL","Walker, Marion (South & West), Fayette & Lamar Counties",-88.109666,33.76277,14086,1,0.118393 
"01077","01","00100","AL","Lauderdale AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",-87.608752,34.86618,93096,1,0.497932 
"01079","01","00600","AL","Lawrence AL","Morgan & Lawrence Counties--Decatur City",-87.272433,34.543683,33477,1,0.218684 
"01081","01","01900","AL","Lee AL","Lee County--Auburn City",-85.345889,32.588093,154255,1,1 
"01083","01","00200","AL","Limestone AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",-86.938983,34.815613,90787,1,0.493555 
"01085","01","02100","AL","Lowndes AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",-86.618708,32.162415,10580,1,0.058998 
"01087","01","02400","AL","Macon AL","Russell, Pike, Barbour, Macon & Bullock Counties",-85.714998,32.425739,19425,1,0.129437 
"01089","01","00200","AL","Madison AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",-86.598748,34.839332,93157.849237,0.265938,0.506444 
"01089","01","00301","AL","Madison AL","Huntsville (North) & Madison (East) Cities",-86.692666,34.750606,124425.29748,0.355197,1 
"01089","01","00302","AL","Madison AL","Huntsville City (Central & South)",-86.573526,34.689683,106218.29951,0.303222,1 
"01089","01","00500","AL","Madison AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",-86.450594,34.627177,26497.553766,0.075643,0.218747 
"01091","01","01700","AL","Marengo AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",-87.800664,32.340479,20110,1,0.153446 
"01093","01","00100","AL","Marion AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",-87.750165,34.244285,7725.124578,0.255199,0.041319 
"01093","01","01400","AL","Marion AL","Walker, Marion (South & West), Fayette & Lamar Counties",-87.916845,34.066401,22545.875422,0.744801,0.189498 
"01095","01","00500","AL","Marshall AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",-86.293319,34.311975,94636,1,0.781253 
"01097","01","02701","AL","Mobile AL","Mobile City (East)",-88.086118,30.687379,111336.53702,0.268201,1 
"01097","01","02702","AL","Mobile AL","Mobile City (West)",-88.167659,30.680423,107838.58054,0.259775,1 
"01097","01","02703","AL","Mobile AL","Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",-88.220258,30.684036,195947.88244,0.472023,1 
"01099","01","02200","AL","Monroe AL","Southwest Alabama",-87.360832,31.505611,21947,1,0.158405 
"01101","01","02000","AL","Montgomery AL","Montgomery City & Pike Road Town (North)",-86.248351,32.352517,193814.29841,0.856869,1 
"01101","01","02100","AL","Montgomery AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",-86.216551,32.30821,32374.701591,0.143131,0.180535 
"01103","01","00600","AL","Morgan AL","Morgan & Lawrence Counties--Decatur City",-86.930832,34.514252,119607,1,0.781316 
"01105","01","01700","AL","Perry AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",-87.369124,32.581066,9826,1,0.074976 
"01107","01","01500","AL","Pickens AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",-88.066411,33.292973,20365,1,0.189171 
"01109","01","02400","AL","Pike AL","Russell, Pike, Barbour, Macon & Bullock Counties",-85.948661,31.787277,33389,1,0.222485 
"01111","01","01000","AL","Randolph AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",-85.427305,33.257607,22539,1,0.142175 
"01113","01","02400","AL","Russell AL","Russell, Pike, Barbour, Macon & Bullock Counties",-85.062812,32.421972,59608,1,0.397193 
"01115","01","00800","AL","St. Clair AL","St. Clair & Blount Counties",-86.369084,33.660628,86697,1,0.600328 
"01117","01","01200","AL","Shelby AL","Shelby County",-86.737934,33.290719,206655,1,1 
"01119","01","01700","AL","Sumter AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",-88.232624,32.57442,13166,1,0.100461 
"01121","01","01000","AL","Talladega AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",-86.169048,33.372084,81322,1,0.512975 
"01123","01","01800","AL","Tallapoosa AL","Chilton, Tallapoosa, Chambers & Coosa Counties",-85.864547,32.853061,41165,1,0.316513 
"01125","01","01500","AL","Tuscaloosa AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",-87.504662,33.231231,87288.692483,0.431669,0.810828 
"01125","01","01600","AL","Tuscaloosa AL","Tuscaloosa & Northport (Southeast) Cities",-87.532057,33.201183,114923.30752,0.568331,1 
"01127","01","01400","AL","Walker AL","Walker, Marion (South & West), Fayette & Lamar Counties",-87.253978,33.834859,65471,1,0.550283 
"01129","01","02200","AL","Washington AL","Southwest Alabama",-88.186207,31.410368,16834,1,0.121501 
"01131","01","02200","AL","Wilcox AL","Southwest Alabama",-87.380424,31.999753,11098,1,0.080101 
"01133","01","00700","AL","Winston AL","Cullman & Winston Counties",-87.415772,34.163825,24150,1,0.229042 
"02013","02","00400","AK","Aleutians East Borough AK","Subsistence Alaska",-162.874239,54.860151,3360,1,0.029768 
"02016","02","00400","AK","Aleutians West Census Area AK","Subsistence Alaska",-155.382293,54.023572,5750,1,0.050943 
"02020","02","00101","AK","Anchorage Borough AK","Anchorage Municipality (North)",-149.726616,61.248157,136713.20383,0.454181,1 
"02020","02","00102","AK","Anchorage Borough AK","Anchorage Municipality (South)",-149.848269,61.145696,164296.79617,0.545818,1 
"02050","02","00400","AK","Bethel Census Area AK","Subsistence Alaska",-162.139214,60.679947,17868,1,0.158305 
"02060","02","00400","AK","Bristol Bay Borough AK","Subsistence Alaska",-156.834067,58.735464,957,1,0.008479 
"02068","02","00300","AK","Denali Borough AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",-149.034088,63.882846,1921,1,0.011469 
"02070","02","00400","AK","Dillingham Census Area AK","Subsistence Alaska",-158.715222,59.136257,4988,1,0.044192 
"02090","02","00300","AK","Fairbanks North Star Borough AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",-147.624384,64.831553,99357,1,0.593204 
"02100","02","00300","AK","Haines Borough AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",-135.560523,59.264126,2566,1,0.01532 
"02105","02","00400","AK","Hoonah-Angoon Census Area","Subsistence Alaska",-135.388805,58.078283,2082,1,0.018446 
"02110","02","00300","AK","Juneau Borough AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",-134.530698,58.358517,32406,1,0.193478 
"02122","02","00200","AK","Kenai Peninsula Borough AK","Matanuska-Susitna & Kenai Peninsula Boroughs",-151.06323,60.292593,57477,1,0.369962 
"02130","02","00300","AK","Ketchikan Gateway Borough AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",-131.678606,55.367859,13787,1,0.082314 
"02150","02","00400","AK","Kodiak Island Borough AK","Subsistence Alaska",-152.460309,57.779138,13986,1,0.123911 
"02164","02","00400","AK","Lake and Peninsula Borough AK","Subsistence Alaska",-156.294924,58.557351,1631,1,0.01445 
"02170","02","00200","AK","Matanuska-Susitna Borough AK","Matanuska-Susitna & Kenai Peninsula Boroughs",-149.422185,61.611281,97882,1,0.630037 
"02180","02","00400","AK","Nome Census Area AK","Subsistence Alaska",-165.297887,64.457027,9817,1,0.086975 
"02185","02","00400","AK","North Slope Borough AK","Subsistence Alaska",-154.842509,70.52278,9703,1,0.085965 
"02188","02","00400","AK","Northwest Arctic Borough AK","Subsistence Alaska",-161.649939,66.943735,7717,1,0.06837 
"02195","02","00400","AK","Petersburg Census Area","Subsistence Alaska",-133.11533,56.812713,3160,1,0.027997 
