"county14","state","puma2k","stab","cntyname2","PUMA2kName","intptlon","intptlat","pop10","afact","AFACT2"
"county14","FIPS state","puma2k","State Postal Code","Current County","PUMA 2K Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","county14 to puma2k alloc factor","puma2k to county14 alloc factor"
"01033","01","00100","AL","Colbert AL","0100100",-87.685151,34.723385,54428,1,0.369914 
"01077","01","00100","AL","Lauderdale AL","0100100",-87.608752,34.86618,92709,1,0.630086 
"01089","01","00200","AL","Madison AL","0100200",-86.593462,34.709032,173632,0.518597,1 
"01083","01","00300","AL","Limestone AL","0100300",-86.938983,34.815613,82782,1,0.339325 
"01089","01","00300","AL","Madison AL","0100300",-86.634573,34.786639,161179,0.481403,0.660675 
"01049","01","00400","AL","DeKalb AL","0100400",-85.817037,34.455111,71109,1,0.57191 
"01071","01","00400","AL","Jackson AL","0100400",-85.938553,34.731985,53227,1,0.42809 
"01043","01","00500","AL","Cullman AL","0100500",-86.831816,34.162363,80406,1,0.406277 
"01095","01","00500","AL","Marshall AL","0100500",-86.293319,34.311975,93019,1,0.470009 
"01133","01","00500","AL","Winston AL","0100500",-87.415772,34.163825,24484,1,0.123713 
"01079","01","00600","AL","Lawrence AL","0100600",-87.272433,34.543683,34339,1,0.223228 
"01103","01","00600","AL","Morgan AL","0100600",-86.930832,34.514252,119490,1,0.776772 
"01057","01","00700","AL","Fayette AL","0100700",-87.770364,33.726422,17241,1,0.134912 
"01059","01","00700","AL","Franklin AL","0100700",-87.793573,34.460481,31704,1,0.248087 
"01075","01","00700","AL","Lamar AL","0100700",-88.109666,33.76277,14564,1,0.113965 
"01093","01","00700","AL","Marion AL","0100700",-87.874308,34.111797,30776,1,0.240825 
"01107","01","00700","AL","Pickens AL","0100700",-88.066411,33.292973,19746,1,0.154514 
"01119","01","00700","AL","Sumter AL","0100700",-88.232624,32.57442,13763,1,0.107697 
"01009","01","00800","AL","Blount AL","0100800",-86.591401,33.955244,57322,1,0.275669 
"01115","01","00800","AL","St. Clair AL","0100800",-86.369084,33.660628,83593,1,0.402009 
"01127","01","00800","AL","Walker AL","0100800",-87.253978,33.834859,67023,1,0.322322 
"01073","01","00901","AL","Jefferson AL","0100901",-86.768779,33.536939,89625,0.136112,1 
"01073","01","00902","AL","Jefferson AL","0100902",-86.881003,33.487328,100833,0.153133,1 
"01073","01","00903","AL","Jefferson AL","0100903",-86.767622,33.447391,170157,0.258414,1 
"01073","01","00904","AL","Jefferson AL","0100904",-86.742591,33.653628,187134,0.284197,1 
"01073","01","00905","AL","Jefferson AL","0100905",-86.985246,33.413457,110717,0.168144,1 
"01055","01","01000","AL","Etowah AL","0101000",-86.025408,34.013693,104430,1,1 
"01015","01","01100","AL","Calhoun AL","0101100",-85.913387,33.585796,4,0.000034,0.000025 
"01019","01","01100","AL","Cherokee AL","0101100",-85.629198,34.179333,25989,1,0.162329 
"01027","01","01100","AL","Clay AL","0101100",-85.820165,33.272412,13932,1,0.08702 
"01029","01","01100","AL","Cleburne AL","0101100",-85.494301,33.629771,14972,1,0.093516 
"01111","01","01100","AL","Randolph AL","0101100",-85.427305,33.257607,22913,1,0.143116 
"01121","01","01100","AL","Talladega AL","0101100",-86.169048,33.372084,82291,1,0.513994 
"01015","01","01200","AL","Calhoun AL","0101200",-85.819401,33.725465,118568,0.999966,1 
"01117","01","01300","AL","Shelby AL","0101300",-86.737934,33.290719,195085,1,1 
"01125","01","01400","AL","Tuscaloosa AL","0101400",-87.520232,33.214154,194656,1,1 
"01007","01","01500","AL","Bibb AL","0101500",-87.127656,33.030921,22915,1,0.186063 
"01047","01","01500","AL","Dallas AL","0101500",-87.034941,32.408819,43819,0.999977,0.355798 
"01063","01","01500","AL","Greene AL","0101500",-87.924012,32.830505,9045,1,0.073443 
"01065","01","01500","AL","Hale AL","0101500",-87.62609,32.775805,15760,1,0.127967 
"01091","01","01500","AL","Marengo AL","0101500",-87.800664,32.340479,21027,1,0.170733 
"01105","01","01500","AL","Perry AL","0101500",-87.369124,32.581066,10591,1,0.085996 
"01017","01","01600","AL","Chambers AL","0101600",-85.266519,32.86044,34215,1,0.261217 
"01021","01","01600","AL","Chilton AL","0101600",-86.687443,32.877547,43643,1,0.333196 
"01037","01","01600","AL","Coosa AL","0101600",-86.155045,32.975933,11539,1,0.088095 
"01123","01","01600","AL","Tallapoosa AL","0101600",-85.864635,32.853256,41586,0.999279,0.317492 
