"state","puma2k","puma12","stab","PUMAname","PUMA2kName","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","puma2k","puma12","State Postal Code","PUMA12 Name","PUMA 2K Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","puma2k to puma12 alloc factor","puma12 to puma2k alloc factor"
"01","00100","00100","AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties","0100100",-87.637013,34.813358,147137,1,0.788114 
"01","00200","00200","AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)","0100200",-86.681902,34.67929,8118,0.046754,0.047247 
"01","00200","00301","AL","Huntsville (North) & Madison (East) Cities","0100200",-86.637663,34.757434,55068,0.317153,0.463052 
"01","00200","00302","AL","Huntsville City (Central & South)","0100200",-86.573578,34.689475,100748,0.580238,0.992376 
"01","00200","00500","AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)","0100200",-86.475012,34.662263,9698,0.055854,0.081947 
"01","00300","00200","AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)","0100300",-86.766676,34.835274,163703,0.671021,0.952753 
"01","00300","00301","AL","Huntsville (North) & Madison (East) Cities","0100300",-86.7401,34.744718,63856,0.261747,0.536948 
"01","00300","00302","AL","Huntsville City (Central & South)","0100300",-86.566716,34.716792,774,0.003173,0.007624 
"01","00300","00500","AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)","0100300",-86.435442,34.605405,15628,0.064059,0.132055 
"01","00400","00400","AL","DeKalb & Jackson Counties","0100400",-85.869057,34.573638,124336,1,1 
"01","00500","00500","AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)","0100500",-86.293319,34.311975,93019,0.470009,0.785998 
"01","00500","00700","AL","Cullman & Winston Counties","0100500",-86.968127,34.162704,104890,0.529991,1 
"01","00600","00600","AL","Morgan & Lawrence Counties--Decatur City","0100600",-87.007087,34.520822,153829,1,1 
"01","00700","00100","AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties","0100700",-87.784954,34.417557,39558,0.309545,0.211886 
"01","00700","01400","AL","Walker, Marion (South & West), Fayette & Lamar Counties","0100700",-87.922012,33.878493,54727,0.428244,0.449503 
"01","00700","01500","AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)","0100700",-88.066411,33.292973,19746,0.154514,0.190281 
"01","00700","01700","AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties","0100700",-88.232624,32.57442,13763,0.107697,0.100518 
"01","00800","00800","AL","St. Clair & Blount Counties","0100800",-86.459519,33.780473,140915,0.677678,1 
"01","00800","01400","AL","Walker, Marion (South & West), Fayette & Lamar Counties","0100800",-87.253978,33.834859,67023,0.322322,0.550497 
"01","00901","01302","AL","Birmingham City (East)","0100901",-86.768779,33.53694,89623,0.999978,0.877813 
"01","00901","01303","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities","0100901",-86.781593,33.49461,2,0.000022,0.000012 
"01","00902","01301","AL","Birmingham City (West)","0100902",-86.881003,33.487328,100833,1,1 
"01","00903","01302","AL","Birmingham City (East)","0100903",-86.785423,33.491815,14,0.000082,0.000137 
"01","00903","01303","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities","0100903",-86.76762,33.447387,170143,0.999918,0.999988 
