"zcta5","state","puma2k","stab","zipname","PUMA2kName","intptlon","intptlat","pop10","afact","AFACT2"
"ZIP Census Tabulation Area","FIPS state","puma2k","State Postal Code","zipname","PUMA 2K Name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","zcta5 to puma2k alloc factor","puma2k to zcta5 alloc factor"
"01001","25","01800","MA","Agawam Town, MA","2501800",-72.62239,42.069605,16769,1,0.142098 
"01002","25","00200","MA","Amherst Center, MA","2500200",-72.449974,42.384834,1600,0.055079,0.013243 
"01002","25","01600","MA","Amherst Center, MA","2501600",-72.515165,42.372159,27449,0.944921,0.261883 
"01003","25","01600","MA","Amherst Center, MA","2501600",-72.524677,42.389125,10372,1,0.098956 
"01005","25","01500","MA","Barre, MA","2501500",-72.110496,42.411152,5079,1,0.045644 
"01007","25","02000","MA","Belchertown, MA","2502000",-72.409222,42.272842,14649,1,0.12513 
"01008","25","00200","MA","Blandford, MA","2500200",-72.938224,42.183173,1263,1,0.010454 
"01009","25","02000","MA","Palmer Town, MA","2502000",-72.341702,42.211566,741,1,0.00633 
"01010","25","01500","MA","Brimfield, MA","2501500",-72.202212,42.133264,3608,0.999722,0.032424 
"01010","25","02100","MA","Brimfield, MA","2502100",-72.15364,42.091033,1,0.000277,8E-6 
"01011","25","00200","MA","Chester, MA","2500200",-72.968792,42.294368,1370,1,0.01134 
"01012","25","00200","MA","Chesterfield, MA","2500200",-72.841902,42.390019,661,1,0.005471 
"01013","25","01700","MA","Chicopee, MA","2501700",-72.608139,42.162881,23188,1,0.208461 
"01020","25","01700","MA","Chicopee, MA","2501700",-72.575311,42.175616,29659,0.999696,0.266636 
"01020","25","01900","MA","Chicopee, MA","2501900",-72.577694,42.141947,9,0.000303,0.000059 
"01022","25","01700","MA","Chicopee, MA","2501700",-72.559913,42.195117,2451,1,0.022035 
"01026","25","00200","MA","Cummington, MA","2500200",-72.9137,42.464452,946,1,0.00783 
"01027","25","00200","MA","Easthampton Town, MA","2500200",-72.771109,42.30854,1607,0.090997,0.013301 
"01027","25","01700","MA","Easthampton Town, MA","2501700",-72.671416,42.261292,16053,0.909003,0.144317 
"01028","25","02000","MA","East Longmeadow, MA","2502000",-72.503655,42.065712,15720,1,0.134279 
"01029","25","00200","MA","East Otis, MA (PO Boxes)","2500200",-73.049353,42.181083,789,1,0.006531 
"01030","25","01800","MA","Agawam Town, MA","2501800",-72.675464,42.070913,11669,1,0.098881 
"01031","25","00200","MA","Gilbertville, MA","2500200",-72.202504,42.316642,1308,1,0.010826 
"01032","25","00200","MA","Goshen, MA","2500200",-72.813301,42.443816,570,1,0.004718 
"01033","25","01600","MA","Granby, MA","2501600",-72.515714,42.256708,6222,0.999197,0.059362 
"01033","25","02000","MA","Granby, MA","2502000",-72.454937,42.263698,5,0.000803,0.000043 
"01034","25","00200","MA","Granville, MA","2500200",-72.918529,42.069187,2021,1,0.016728 
"01035","25","01600","MA","Hadley, MA","2501600",-72.569359,42.360552,5250,1,0.050089 
"01036","25","02000","MA","Hampden, MA","2502000",-72.428846,42.066026,5109,1,0.043641 
"01037","25","00200","MA","Hardwick, MA (PO Boxes)","2500200",-72.193173,42.369192,838,1,0.006936 
"01038","25","01600","MA","Hatfield, MA","2501600",-72.609203,42.381605,2545,1,0.024281 
"01039","25","00200","MA","Haydenville, MA","2500200",-72.67714,42.42988,202,0.151198,0.001672 
"01039","25","01600","MA","Haydenville, MA","2501600",-72.697287,42.381357,1134,0.848802,0.010819 
"01040","25","01700","MA","Holyoke, MA","2501700",-72.626562,42.201932,39880,1,0.358523 
"01050","25","00200","MA","Huntington, MA","2500200",-72.910691,42.298173,154,0.06087,0.001275 
"01050","25","01800","MA","Huntington, MA","2501800",-72.863093,42.258818,2376,0.93913,0.020134 
"01053","25","01600","MA","Northampton, MA","2501600",-72.698108,42.353439,1685,1,0.016076 
"01054","25","00200","MA","Leverett, MA","2500200",-72.497234,42.468779,1851,1,0.015321 
"01056","25","02000","MA","Ludlow, MA","2502000",-72.471008,42.176001,21103,1,0.18026 
"01057","25","02000","MA","Monson, MA","2502000",-72.324094,42.098747,8280,0.970236,0.070727 
"01057","25","02100","MA","Monson, MA","2502100",-72.269308,42.057325,254,0.029763,0.001926 
"01060","25","01600","MA","Northampton, MA","2501600",-72.636845,42.324008,15284,1,0.14582 
"01062","25","01600","MA","Northampton, MA","2501600",-72.679059,42.323518,11150,1,0.106379 
"01063","25","01600","MA","Northampton, MA","2501600",-72.638269,42.319556,430,1,0.004103 
"01066","25","01600","MA","North Hatfield, MA (PO Boxes)","2501600",-72.640293,42.410583,64,1,0.000611 
"01068","25","01500","MA","Oakham, MA","2501500",-72.05336,42.34877,1902,1,0.017093 
"01069","25","02000","MA","Palmer Town, MA","2502000",-72.320594,42.171927,8469,1,0.072341 
"01070","25","00200","MA","Plainfield, MA","2500200",-72.919262,42.514718,629,1,0.005206 
"01071","25","01800","MA","Russell, MA","2501800",-72.857976,42.177924,1596,1,0.013524 
"01072","25","00200","MA","Shutesbury, MA","2500200",-72.425476,42.460301,1478,1,0.012234 
"01073","25","01800","MA","Southampton, MA","2501800",-72.719409,42.226942,5792,1,0.049081 
"01074","25","01500","MA","South Barre, MA (PO Boxes)","2501500",-72.095583,42.38628,319,1,0.002867 
"01075","25","01600","MA","South Hadley, MA","2501600",-72.582118,42.238014,17527,1,0.16722 
"01077","25","01800","MA","Southwick, MA","2501800",-72.769604,42.052258,9502,1,0.080519 
"01079","25","02000","MA","Palmer Town, MA","2502000",-72.330874,42.191597,692,1,0.005911 
"01080","25","02000","MA","Palmer Town, MA","2502000",-72.362231,42.181238,2334,1,0.019937 
"01081","25","02100","MA","Wales, MA","2502100",-72.225077,42.062423,1698,1,0.012877 
"01082","25","00200","MA","Ware, MA","2500200",-72.249904,42.328133,450,0.043596,0.003725 
"01082","25","02000","MA","Ware, MA","2502000",-72.259408,42.262085,9872,0.956404,0.084326 
"01083","25","01500","MA","Warren, MA (PO Boxes)","2501500",-72.197785,42.2099,2888,1,0.025954 
"01084","25","00200","MA","West Chesterfield, MA (PO Boxes)","2500200",-72.882537,42.388638,176,1,0.001457 
"01085","25","01800","MA","Westfield, MA","2501800",-72.750532,42.127951,41117,1,0.348419 
"01086","25","01800","MA","Westfield, MA","2501800",-72.793515,42.131046,687,1,0.005822 
"01088","25","01600","MA","West Hatfield, MA","2501600",-72.641998,42.389733,670,1,0.006392 
"01089","25","01800","MA","West Springfield Town, MA","2501800",-72.639859,42.115822,28391,1,0.240581 
"01092","25","01500","MA","West Warren, MA (PO Boxes)","2501500",-72.232544,42.207919,1394,1,0.012528 
"01093","25","00200","MA","Whately, MA (PO Boxes)","2500200",-72.647156,42.434059,325,1,0.00269 
"01094","25","00200","MA","Wheelwright, MA (PO Boxes)","2500200",-72.142609,42.353889,351,1,0.002905 
"01095","25","02000","MA","Wilbraham, MA","2502000",-72.443877,42.126558,14319,1,0.122311 
"01096","25","00200","MA","Williamsburg, MA","2500200",-72.802008,42.406658,869,0.391971,0.007193 
"01096","25","01600","MA","Williamsburg, MA","2501600",-72.741569,42.398566,1348,0.608028,0.012861 
"01097","25","01800","MA","Woronoco, MA","2501800",-72.832911,42.169297,111,1,0.000941 
"01098","25","00200","MA","Worthington, MA","2500200",-72.935066,42.397142,1101,1,0.009113 
"01103","25","01900","MA","Springfield, MA","2501900",-72.587548,42.10358,2479,1,0.016196 
"01104","25","01700","MA","Springfield, MA","2501700",-72.560431,42.149261,3,0.000131,0.000027 
"01104","25","01900","MA","Springfield, MA","2501900",-72.577218,42.129191,22862,0.999868,0.149362 
"01105","25","01900","MA","Springfield, MA","2501900",-72.577776,42.101087,12350,1,0.080685 
"01106","25","01900","MA","Longmeadow, MA","2501900",-72.561031,42.069287,244,0.01523,0.001594 
"01106","25","02000","MA","Longmeadow, MA","2502000",-72.567292,42.051096,15777,0.98477,0.134766 
"01107","25","01900","MA","Springfield, MA","2501900",-72.6062,42.118508,11611,1,0.075857 
"01108","25","01900","MA","Springfield, MA","2501900",-72.558109,42.085987,26688,1,0.174358 
"01109","25","01900","MA","Springfield, MA","2501900",-72.552169,42.115495,30250,1,0.19763 
"01118","25","01900","MA","Springfield, MA","2501900",-72.526724,42.093001,14071,1,0.091929 
"01119","25","01900","MA","Springfield, MA","2501900",-72.512454,42.125403,14152,1,0.092458 
"01128","25","01900","MA","Springfield, MA","2501900",-72.488532,42.095801,2631,1,0.017189 
"01129","25","01900","MA","Springfield, MA","2501900",-72.487598,42.123899,7019,1,0.045857 
"01151","25","01900","MA","Springfield, MA","2501900",-72.503795,42.153376,8698,1,0.056826 
"01201","25","00100","MA","Pittsfield, MA","2500100",-73.248032,42.453093,46504,1,0.40354 
"01220","25","00100","MA","Adams, MA","2500100",-73.116993,42.622796,8603,1,0.074653 
"01222","25","00200","MA","Ashley Falls, MA","2500200",-73.317912,42.058733,829,1,0.006862 
"01223","25","00200","MA","Becket, MA","2500200",-73.085753,42.299874,2314,1,0.019153 
"01224","25","00100","MA","Berkshire, MA","2500100",-73.197839,42.506516,182,1,0.001579 
"01225","25","00100","MA","Cheshire, MA","2500100",-73.156611,42.561266,3117,1,0.027048 
"01226","25","00100","MA","Dalton, MA","2500100",-73.161742,42.472674,6824,0.982577,0.059216 
"01226","25","00200","MA","Dalton, MA","2500200",-73.063322,42.502408,121,0.017423,0.001002 
