"zcta5","state","sduni","stab","zipname","uschlnm10","intptlon","intptlat","pop10","afact","AFACT2"
"ZIP Census Tabulation Area","FIPS state","sduni","State Postal Code","zipname","Unified School District Name 2010","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","zcta5 to sduni alloc factor","sduni to zcta5 alloc factor"
"01001","25","01800","MA","Agawam Town, MA","Agawam School District",-72.62239,42.069605,16769,1,0.589669
"01002","25"," ","MA","Amherst Center, MA","25",-72.511574,42.372857,29049,1,0.069384
"01003","25"," ","MA","Amherst Center, MA","25",-72.524677,42.389125,10372,1,0.024774
"01005","25","00001","MA","Barre, MA","Quabbin School District",-72.110496,42.411152,5079,1,0.324102
"01007","25","02430","MA","Belchertown, MA","Belchertown School District",-72.409222,42.272842,14649,1,1
"01008","25"," ","MA","Blandford, MA","25",-72.957487,42.128427,30,0.023753,0.000072
"01008","25","05160","MA","Blandford, MA","Gateway School District",-72.937755,42.184505,1233,0.976247,0.136394
"01009","25","09300","MA","Palmer Town, MA","Palmer School District",-72.341702,42.211566,741,1,0.061038
"01010","25"," ","MA","Brimfield, MA","25",-72.202198,42.133253,3609,1,0.00862
"01011","25","05160","MA","Chester, MA","Gateway School District",-72.968792,42.294368,1370,1,0.151549
"01012","25"," ","MA","Chesterfield, MA","25",-72.841902,42.390019,661,1,0.001579
"01013","25","03660","MA","Chicopee, MA","Chicopee School District",-72.608139,42.162881,23188,1,0.419328
"01020","25","03660","MA","Chicopee, MA","Chicopee School District",-72.575311,42.175616,29659,0.999696,0.536348
"01020","25","11130","MA","Chicopee, MA","Springfield School District",-72.577694,42.141947,9,0.000303,0.000059
"01022","25","03660","MA","Chicopee, MA","Chicopee School District",-72.559913,42.195117,2451,1,0.044323
"01026","25","03390","MA","Cummington, MA","Central Berkshire School District",-72.912129,42.465362,872,0.921776,0.063543
"01026","25","05160","MA","Cummington, MA","Gateway School District",-72.933401,42.438206,55,0.05814,0.006084
"01026","25","07990","MA","Cummington, MA","Mohawk Trail School District",-72.928737,42.498657,19,0.020085,0.00222
"01027","25"," ","MA","Easthampton Town, MA","25",-72.771109,42.30854,1607,0.090997,0.003838
"01027","25","04590","MA","Easthampton Town, MA","Easthampton School District",-72.671416,42.261292,16053,0.909003,1
"01028","25","04500","MA","East Longmeadow, MA","East Longmeadow School District",-72.503655,42.065712,15720,1,1
"01029","25"," ","MA","East Otis, MA (PO Boxes)","25",-73.049353,42.181083,789,1,0.001885
"01030","25","01800","MA","Agawam Town, MA","Agawam School District",-72.675464,42.070913,11669,1,0.410331
"01031","25","00001","MA","Gilbertville, MA","Quabbin School District",-72.202504,42.316642,1308,1,0.083466
"01032","25"," ","MA","Goshen, MA","25",-72.813301,42.443816,570,1,0.001361
"01033","25","05400","MA","Granby, MA","Granby School District",-72.515665,42.256714,6227,1,0.997916
"01034","25"," ","MA","Granville, MA","25",-72.887153,42.066746,1536,0.76002,0.003669
"01034","25","00013","MA","Granville, MA","Southwick-Tolland School District",-73.017898,42.076918,485,0.23998,0.048563
"01035","25","05580","MA","Hadley, MA","Hadley School District",-72.569359,42.360552,5250,1,1
"01036","25","05730","MA","Hampden, MA","Hampden-Wilbraham School District",-72.428846,42.066026,5109,1,0.263922
"01037","25","00001","MA","Hardwick, MA (PO Boxes)","Quabbin School District",-72.193173,42.369192,838,1,0.053475
"01038","25","05940","MA","Hatfield, MA","Hatfield School District",-72.609203,42.381605,2545,1,0.776151
"01039","25"," ","MA","Haydenville, MA","25",-72.694241,42.388694,1336,1,0.003191
"01040","25","06270","MA","Holyoke, MA","Holyoke School District",-72.626562,42.201932,39880,1,1
"01050","25","05160","MA","Huntington, MA","Gateway School District",-72.865991,42.261214,2530,1,0.279867
"01053","25","08850","MA","Northampton, MA","Northampton School District",-72.698108,42.353439,1685,1,0.059021
"01054","25"," ","MA","Leverett, MA","25",-72.497234,42.468779,1851,1,0.004421
"01056","25","07050","MA","Ludlow, MA","Ludlow School District",-72.471008,42.176001,21103,1,1
"01057","25"," ","MA","Monson, MA","25",-72.261689,42.06474,140,0.016405,0.000334
"01057","25","05730","MA","Monson, MA","Hampden-Wilbraham School District",-72.385148,42.082391,30,0.003515,0.00155
"01057","25","08040","MA","Monson, MA","Monson School District",-72.323256,42.098117,8364,0.98008,0.977103
"01060","25","08850","MA","Northampton, MA","Northampton School District",-72.636845,42.324008,15284,1,0.53536
"01062","25","08850","MA","Northampton, MA","Northampton School District",-72.679059,42.323518,11150,1,0.390557
"01063","25","08850","MA","Northampton, MA","Northampton School District",-72.638269,42.319556,430,1,0.015062
"01066","25","05940","MA","North Hatfield, MA (PO Boxes)","Hatfield School District",-72.640293,42.410583,64,1,0.019518
"01068","25","00001","MA","Oakham, MA","Quabbin School District",-72.05336,42.34877,1902,1,0.121371
"01069","25","08040","MA","Palmer Town, MA","Monson School District",-72.332386,42.147965,196,0.023143,0.022897
"01069","25","09300","MA","Palmer Town, MA","Palmer School District",-72.320315,42.172495,8273,0.976857,0.681466
"01070","25","07990","MA","Plainfield, MA","Mohawk Trail School District",-72.919262,42.514718,629,1,0.073507
"01071","25","05160","MA","Russell, MA","Gateway School District",-72.857976,42.177924,1596,1,0.176549
"01072","25"," ","MA","Shutesbury, MA","25",-72.425476,42.460301,1478,1,0.00353
"01073","25"," ","MA","Southampton, MA","25",-72.719409,42.226942,5792,1,0.013834
"01074","25","00001","MA","South Barre, MA (PO Boxes)","Quabbin School District",-72.095583,42.38628,319,1,0.020356
"01075","25","05400","MA","South Hadley, MA","Granby School District",-72.556141,42.281461,13,0.000742,0.002083
"01075","25","10920","MA","South Hadley, MA","South Hadley School District",-72.582137,42.237982,17514,0.999258,1
"01077","25","00013","MA","Southwick, MA","Southwick-Tolland School District",-72.769604,42.052258,9502,1,0.951437
"01079","25","09300","MA","Palmer Town, MA","Palmer School District",-72.330874,42.191597,692,1,0.057002
"01080","25","09300","MA","Palmer Town, MA","Palmer School District",-72.362231,42.181238,2334,1,0.192257
"01081","25"," ","MA","Wales, MA","25",-72.225077,42.062423,1698,1,0.004056
"01082","25","00001","MA","Ware, MA","Quabbin School District",-72.249904,42.328133,450,0.043596,0.028715
"01082","25","12030","MA","Ware, MA","Ware School District",-72.259408,42.262085,9872,0.956404,1
"01083","25","12100","MA","Warren, MA (PO Boxes)","Quaboag Regional School District",-72.197785,42.2099,2888,1,0.326845
"01084","25"," ","MA","West Chesterfield, MA (PO Boxes)","25",-72.882537,42.388638,176,1,0.00042
"01085","25","05160","MA","Westfield, MA","Gateway School District",-72.814818,42.21378,710,0.017268,0.07854
"01085","25","12630","MA","Westfield, MA","Westfield School District",-72.749402,42.126443,40407,0.982732,0.983282
"01086","25","12630","MA","Westfield, MA","Westfield School District",-72.793515,42.131046,687,1,0.016718
"01088","25","05940","MA","West Hatfield, MA","Hatfield School District",-72.641998,42.389733,670,1,0.204331
"01089","25","12510","MA","West Springfield Town, MA","West Springfield School District",-72.639859,42.115822,28391,1,1
"01092","25","12100","MA","West Warren, MA (PO Boxes)","Quaboag Regional School District",-72.232544,42.207919,1394,1,0.157764
"01093","25"," ","MA","Whately, MA (PO Boxes)","25",-72.647156,42.434059,325,1,0.000776
"01094","25","00001","MA","Wheelwright, MA (PO Boxes)","Quabbin School District",-72.142609,42.353889,351,1,0.022398
"01095","25","05730","MA","Wilbraham, MA","Hampden-Wilbraham School District",-72.444289,42.126325,14219,0.993016,0.734528
"01095","25","09300","MA","Wilbraham, MA","Palmer School District",-72.385258,42.159751,100,0.006984,0.008237
"01096","25"," ","MA","Williamsburg, MA","25",-72.765259,42.401738,2217,1,0.005295
"01097","25","05160","MA","Woronoco, MA","Gateway School District",-72.832911,42.169297,111,1,0.012279
"01098","25","05160","MA","Worthington, MA","Gateway School District",-72.935066,42.397142,1101,1,0.121792
"01103","25","11130","MA","Springfield, MA","Springfield School District",-72.587548,42.10358,2479,1,0.016196
"01104","25","11130","MA","Springfield, MA","Springfield School District",-72.577215,42.129193,22865,1,0.149386
"01105","25","11130","MA","Springfield, MA","Springfield School District",-72.577776,42.101087,12350,1,0.080687
"01106","25","06990","MA","Longmeadow, MA","Longmeadow School District",-72.567287,42.051102,15784,0.985207,1
"01106","25","11130","MA","Longmeadow, MA","Springfield School District",-72.561147,42.069363,237,0.014793,0.001548
"01107","25","11130","MA","Springfield, MA","Springfield School District",-72.6062,42.118508,11611,1,0.075859
"01108","25","11130","MA","Springfield, MA","Springfield School District",-72.558109,42.085987,26688,1,0.174363
"01109","25","11130","MA","Springfield, MA","Springfield School District",-72.552169,42.115495,30250,1,0.197635
"01118","25","11130","MA","Springfield, MA","Springfield School District",-72.526724,42.093001,14071,1,0.091931
"01119","25","11130","MA","Springfield, MA","Springfield School District",-72.512454,42.125403,14152,1,0.09246
"01128","25","11130","MA","Springfield, MA","Springfield School District",-72.488532,42.095801,2631,1,0.017189
"01129","25","11130","MA","Springfield, MA","Springfield School District",-72.487598,42.123899,7019,1,0.045858
"01151","25","11130","MA","Springfield, MA","Springfield School District",-72.503795,42.153376,8698,1,0.056827
"01201","25"," ","MA","Pittsfield, MA","25",-73.289026,42.470335,1626,0.034965,0.003884
"01201","25","03390","MA","Pittsfield, MA","Central Berkshire School District",-73.196381,42.420713,48,0.001032,0.003498
"01201","25","06750","MA","Pittsfield, MA","Lenox School District",-73.268837,42.400465,93,0.002,0.018507
"01201","25","09630","MA","Pittsfield, MA","Pittsfield School District",-73.246555,42.452611,44737,0.962003,1
"01220","25","01780","MA","Adams, MA","Adams-Cheshire School District",-73.116993,42.622796,8603,1,0.734044
"01222","25","11040","MA","Ashley Falls, MA","Southern Berkshire School District",-73.317912,42.058733,829,1,0.108893
"01223","25","03390","MA","Becket, MA","Central Berkshire School District",-73.085753,42.299874,2314,1,0.168622
"01224","25"," ","MA","Berkshire, MA","25",-73.197839,42.506516,182,1,0.000435
"01225","25","01780","MA","Cheshire, MA","Adams-Cheshire School District",-73.156611,42.561266,3117,1,0.265955
"01226","25","03390","MA","Dalton, MA","Central Berkshire School District",-73.160027,42.473192,6945,1,0.506084
"01229","25","02530","MA","Glendale, MA (PO Boxes)","Berkshire Hills School District",-73.331003,42.277877,95,1,0.009173
"01230","25","02530","MA","Great Barrington, MA","Berkshire Hills School District",-73.360837,42.203958,5959,0.70688,0.575359
"01230","25","11040","MA","Great Barrington, MA","Southern Berkshire School District",-73.365904,42.166941,2471,0.29312,0.324576
"01235","25","03390","MA","Hinsdale, MA","Central Berkshire School District",-73.092969,42.435935,2766,1,0.201559
"01236","25","02530","MA","Housatonic, MA","Berkshire Hills School District",-73.371181,42.25512,1509,1,0.145699
"01237","25"," ","MA","Lanesboro, MA","25",-73.242112,42.534783,2496,1,0.005962
"01238","25","02530","MA","Lee, MA","Berkshire Hills School District",-73.298348,42.301774,75,0.012403,0.007241
"01238","25","06690","MA","Lee, MA","Lee School District",-73.24654,42.304384,5972,0.987597,0.952472
"01240","25","02530","MA","Lenox, MA","Berkshire Hills School District",-73.304151,42.342202,22,0.004852,0.002124
"01240","25","06690","MA","Lenox, MA","Lee School District",-73.282078,42.323069,56,0.012351,0.008931
"01240","25","06750","MA","Lenox, MA","Lenox School District",-73.271973,42.367131,4456,0.982796,0.886766
"01242","25","06750","MA","Lenox Dale, MA (PO Boxes)","Lenox School District",-73.248679,42.334234,476,1,0.094726
"01243","25","05160","MA","Middlefield, MA (PO Boxes)","Gateway School District",-73.015502,42.349918,334,1,0.036947
"01244","25","11040","MA","Mill River, MA (PO Boxes)","Southern Berkshire School District",-73.261611,42.115646,151,1,0.019834
"01245","25"," ","MA","Monterey, MA","25",-73.151363,42.189156,92,0.093401,0.00022
"01245","25","11040","MA","Monterey, MA","Southern Berkshire School District",-73.22409,42.180636,893,0.906599,0.117299
"01247","25"," ","MA","North Adams, MA","25",-73.074923,42.709778,2379,0.147883,0.005682
"01247","25","08670","MA","North Adams, MA","North Adams School District",-73.114067,42.696532,13708,0.852117,1
"01253","25"," ","MA","Otis, MA","25",-73.106623,42.204053,731,1,0.001746
"01254","25"," ","MA","Richmond, MA","25",-73.360129,42.377534,972,1,0.002322
"01255","25"," ","MA","Sandisfield, MA","25",-73.124405,42.111903,915,1,0.002185
"01256","25"," ","MA","Savoy, MA","25",-73.018722,42.575988,692,1,0.001653
"01257","25","11040","MA","Sheffield, MA","Southern Berkshire School District",-73.358651,42.101418,2121,1,0.278602
"01258","25","11040","MA","South Egremont, MA","Southern Berkshire School District",-73.439561,42.131862,374,1,0.049126
"01259","25","11040","MA","Southfield, MA","Southern Berkshire School District",-73.261789,42.074682,635,1,0.08341
"01260","25","02530","MA","South Lee, MA (PO Boxes)","Berkshire Hills School District",-73.345216,42.294116,135,0.5625,0.013035
"01260","25","06690","MA","South Lee, MA (PO Boxes)","Lee School District",-73.282882,42.277975,105,0.4375,0.016746
"01262","25","02530","MA","Stockbridge, MA (PO Boxes)","Berkshire Hills School District",-73.315857,42.292324,1238,1,0.119533
"01264","25","06690","MA","Tyringham, MA","Lee School District",-73.19485,42.233201,137,1,0.02185
"01266","25","02530","MA","West Stockbridge, MA","Berkshire Hills School District",-73.369345,42.330718,1324,0.90499,0.127836
"01266","25","11040","MA","West Stockbridge, MA","Southern Berkshire School District",-73.416295,42.257185,139,0.09501,0.018258
"01267","25"," ","MA","Williamstown, MA","25",-73.206729,42.705451,7989,1,0.019082
"01270","25","03390","MA","Windsor, MA","Central Berkshire School District",-73.04423,42.510428,778,1,0.056693
"01301","25","05490","MA","Greenfield Town, MA","Greenfield School District",-72.600845,42.600305,17456,0.986215,1
"01301","25","09600","MA","Greenfield Town, MA","Pioneer Valley School District",-72.63407,42.684083,244,0.013785,0.036681
"01330","25","07990","MA","Ashfield, MA","Mohawk Trail School District",-72.807597,42.517856,1506,1,0.175996
"01331","25","02160","MA","Athol, MA","Athol-Royalston School District",-72.227667,42.587113,11581,0.873181,0.901806
"01331","25","08280","MA","Athol, MA","Narragansett School District",-72.137883,42.564389,1682,0.126819,0.173491
"01337","25","09600","MA","Bernardston, MA","Pioneer Valley School District",-72.563025,42.684685,2596,1,0.390259
"01338","25","07990","MA","Buckland, MA","Mohawk Trail School District",-72.812363,42.577078,187,1,0.021853
"01339","25"," ","MA","Charlemont, MA","25",-72.883115,42.623175,1196,0.83171,0.002857
"01339","25","07990","MA","Charlemont, MA","Mohawk Trail School District",-72.82874,42.619242,242,0.168289,0.028281
"01340","25","07990","MA","Colrain, MA","Mohawk Trail School District",-72.709186,42.676903,1701,1,0.198785
"01341","25"," ","MA","Conway, MA","25",-72.702652,42.510857,1833,1,0.004378
"01342","25"," ","MA","Deerfield, MA","25",-72.603897,42.540964,1492,1,0.003564
"01343","25"," ","MA","Drury, MA","25",-72.994745,42.656842,75,1,0.000179
"01344","25"," ","MA","Erving, MA","25",-72.446541,42.597904,1498,1,0.003578
"01346","25","07990","MA","Heath, MA","Mohawk Trail School District",-72.821241,42.686961,533,1,0.062288
"01347","25","05270","MA","Lake Pleasant, MA (PO Boxes)","Gill-Montague School District",-72.516522,42.557015,166,1,0.016705
"01349","25"," ","MA","Millers Falls, MA","25",-72.488555,42.581954,337,0.308891,0.000805
"01349","25","05270","MA","Millers Falls, MA","Gill-Montague School District",-72.495823,42.576001,754,0.691109,0.075878
"01350","25"," ","MA","Monroe Bridge, MA (PO Boxes)","25",-72.958506,42.723438,121,1,0.000289
"01351","25","05270","MA","Montague, MA","Gill-Montague School District",-72.533443,42.545154,2270,1,0.228439
"01354","25","05270","MA","Gill, MA","Gill-Montague School District",-72.516771,42.633473,1500,1,0.150951
"01355","25"," ","MA","New Salem, MA","25",-72.331111,42.509392,878,1,0.002097
"01360","25","09600","MA","Northfield, MA","Pioneer Valley School District",-72.45115,42.682162,3032,1,0.455803
"01364","25"," ","MA","Orange, MA","25",-72.296492,42.590292,7963,0.999247,0.01902
"01364","25","09600","MA","Orange, MA","Pioneer Valley School District",-72.293709,42.683859,6,0.000753,0.000902
"01366","25"," ","MA","Petersham, MA","25",-72.191279,42.488049,1234,0.966327,0.002947
"01366","25","00001","MA","Petersham, MA","Quabbin School District",-72.21132,42.393526,43,0.033673,0.002744
"01367","25"," ","MA","Rowe, MA","25",-72.905494,42.698218,449,0.860153,0.001072
"01367","25","07990","MA","Rowe, MA","Mohawk Trail School District",-72.856794,42.722415,73,0.139847,0.008531
"01368","25","02160","MA","Royalston, MA","Athol-Royalston School District",-72.179517,42.673519,1261,1,0.098193
"01370","25"," ","MA","Shelburne Falls, MA","25",-72.775835,42.624956,417,0.102106,0.000996
"01370","25","07990","MA","Shelburne Falls, MA","Mohawk Trail School District",-72.727968,42.598683,3667,0.897894,0.428538
"01373","25"," ","MA","South Deerfield, MA","25",-72.610924,42.47864,4600,1,0.010987
"01375","25"," ","MA","Sunderland, MA","25",-72.566187,42.454592,3684,1,0.008799
"01376","25","05270","MA","Turners Falls, MA","Gill-Montague School District",-72.556823,42.598111,5247,1,0.528026
"01378","25","09600","MA","Warwick, MA","Pioneer Valley School District",-72.338229,42.670201,774,1,0.116356
"01379","25"," ","MA","Wendell, MA","25",-72.403144,42.543986,813,1,0.001942
"01420","25","04890","MA","Fitchburg, MA","Fitchburg School District",-71.803914,42.579542,40318,0.999529,1
"01420","25","06780","MA","Fitchburg, MA","Leominster School District",-71.826985,42.532045,19,0.000471,0.000466
"01430","25","02040","MA","Ashburnham, MA","Ashburnham-Westminster School District",-71.926417,42.650878,6059,0.995073,0.453586
"01430","25","13080","MA","Ashburnham, MA","Winchendon School District",-71.984801,42.682357,30,0.004927,0.002913
"01431","25","08790","MA","Ashby, MA","North Middlesex School District",-71.816083,42.675572,3074,1,0.130825
"01432","25","02280","MA","Ayer, MA","Ayer School District",-71.572304,42.560509,7089,1,0.95449
"01434","25","02280","MA","Devens, MA","Ayer School District",-71.606866,42.551161,338,0.188301,0.04551
"01434","25","05880","MA","Devens, MA","Harvard School District",-71.621513,42.53051,1457,0.811699,0.223466
"01436","25","08280","MA","Baldwinville, MA","Narragansett School District",-72.07208,42.603843,3336,1,0.344095
"01438","25","08280","MA","East Templeton, MA (PO Boxes)","Narragansett School District",-72.033299,42.561046,559,1,0.057659
"01440","25","02040","MA","Gardner, MA","Ashburnham-Westminster School District",-71.975607,42.634127,22,0.001081,0.001647
"01440","25","05130","MA","Gardner, MA","Gardner School District",-71.98834,42.574999,20228,0.994151,1
"01440","25","08280","MA","Gardner, MA","Narragansett School District",-72.041836,42.593066,97,0.004767,0.010005
"01450","25","05500","MA","Groton, MA","Groton-Dunstable School District",-71.559389,42.611235,10646,1,0.770054
"01451","25","05880","MA","Harvard, MA","Harvard School District",-71.575196,42.500099,4747,1,0.728067
"01452","25","00001","MA","Hubbardston, MA","Quabbin School District",-72.00308,42.486871,4382,1,0.279625
"01453","25","06780","MA","Leominster, MA","Leominster School District",-71.754816,42.52693,40740,0.996502,0.999534
"01453","25","08310","MA","Leominster, MA","Nashoba School District",-71.70912,42.506459,143,0.003498,0.007318
"01460","25","06960","MA","Littleton, MA","Littleton School District",-71.486804,42.539815,8924,1,1
"01462","25","07080","MA","Lunenburg, MA","Lunenburg School District",-71.721615,42.588067,10086,1,1
"01463","25","08790","MA","Pepperell, MA","North Middlesex School District",-71.594218,42.669801,11497,1,0.489296
"01464","25"," ","MA","Shirley, MA","25",-71.647229,42.557307,7211,1,0.017224
"01467","25","05880","MA","Still River, MA (PO Boxes)","Harvard School District",-71.616099,42.488235,316,1,0.048466
"01468","25","08280","MA","Templeton, MA","Narragansett School District",-72.064784,42.553055,4021,1,0.41475
"01469","25","08790","MA","Townsend, MA","North Middlesex School District",-71.692011,42.655687,6801,1,0.289441
"01473","25","02040","MA","Westminster, MA","Ashburnham-Westminster School District",-71.90654,42.550484,7277,1,0.544767
"01474","25","08790","MA","West Townsend, MA","North Middlesex School District",-71.745354,42.670998,2125,1,0.090437
"01475","25","13080","MA","Winchendon, MA","Winchendon School District",-72.04805,42.676912,10270,1,0.997087
"01501","25","02220","MA","Auburn, MA","Auburn School District",-71.839035,42.204672,16075,1,0.993019
"01503","25"," ","MA","Berlin, MA","25",-71.6332,42.381914,2866,1,0.006845
"01504","25","02715","MA","Blackstone, MA","Blackstone-Millville School District",-71.527506,42.030066,9026,1,0.738867
"01505","25"," ","MA","Boylston, MA","25",-71.725458,42.341054,4355,1,0.010402
"01506","25"," ","MA","Brookfield, MA","25",-72.102849,42.194229,3390,1,0.008097
"01507","25","04360","MA","Charlton, MA","Dudley-Charlton Regional School District",-71.96414,42.138723,12981,1,0.532641
"01510","25","03750","MA","Clinton, MA","Clinton School District",-71.681261,42.418236,13606,1,1
"01515","25","00002","MA","East Brookfield, MA","Spencer-East Brookfield School District",-72.047934,42.217457,2183,1,0.157379
"01516","25","04230","MA","Douglas, MA","Douglas School District",-71.727657,42.05753,8471,0.996588,1
"01516","25","11850","MA","Douglas, MA","Uxbridge School District",-71.69349,42.094473,29,0.003412,0.002155
"01518","25"," ","MA","Fiskdale, MA","25",-72.115627,42.125291,2974,1,0.007103
"01519","25","05370","MA","Grafton, MA","Grafton School District",-71.688148,42.200154,6595,1,0.371235
"01520","25","11880","MA","Holden, MA","Wachusett School District",-71.842408,42.34027,13997,1,0.338533
"01521","25"," ","MA","Holland, MA","25",-72.159753,42.058045,2481,1,0.005926
"01522","25","11880","MA","Jefferson, MA","Wachusett School District",-71.86725,42.377499,3310,1,0.080056
"01523","25","08310","MA","Lancaster, MA","Nashoba School District",-71.681265,42.469351,7582,1,0.387985
"01524","25","06720","MA","Leicester, MA","Leicester School District",-71.917728,42.241202,6696,1,0.610392
"01525","25","08940","MA","Linwood, MA (PO Boxes)","Northbridge School District",-71.630518,42.106794,290,1,0.018463
"01527","25","02220","MA","Millbury, MA","Auburn School District",-71.79736,42.208249,12,0.000906,0.000741
"01527","25","07890","MA","Millbury, MA","Millbury School District",-71.763913,42.197689,13234,0.999094,0.997964
"01529","25","02715","MA","Millville, MA","Blackstone-Millville School District",-71.57917,42.033745,3190,1,0.261133
"01531","25","00001","MA","New Braintree, MA","Quabbin School District",-72.126329,42.321525,999,1,0.063748
"01532","25"," ","MA","Northborough, MA","25",-71.644926,42.320222,14155,1,0.033809
"01534","25","08940","MA","Northbridge, MA","Northbridge School District",-71.653257,42.147666,5631,1,0.358502
"01535","25","08760","MA","North Brookfield, MA","North Brookfield School District",-72.081434,42.267248,4680,1,1
"01536","25","05370","MA","North Grafton, MA","Grafton School District",-71.699827,42.22857,6643,0.964431,0.373937
"01536","25","10770","MA","North Grafton, MA","Shrewsbury School District",-71.683197,42.251581,245,0.035569,0.00688
"01537","25","09270","MA","North Oxford, MA","Oxford School District",-71.891883,42.168487,2248,1,0.16398
"01540","25","09270","MA","Oxford, MA","Oxford School District",-71.86811,42.114725,11291,1,0.823619
"01541","25","11880","MA","Princeton, MA","Wachusett School District",-71.876425,42.451407,3413,1,0.082547
"01542","25","06720","MA","Rochdale, MA","Leicester School District",-71.911461,42.20079,2032,0.922797,0.185232
"01542","25","09270","MA","Rochdale, MA","Oxford School District",-71.904383,42.189875,170,0.077202,0.012401
"01543","25","11880","MA","Rutland, MA","Wachusett School District",-71.951082,42.377747,7973,1,0.192836
"01545","25","10770","MA","Shrewsbury, MA","Shrewsbury School District",-71.715503,42.284707,35299,1,0.991322
"01550","25","11010","MA","Southbridge Town, MA","Southbridge School District",-72.034305,42.074676,16719,1,1
